Teste	FA	FB	BLOCO	Prod
0	0	45	1	31.1
0	0	45	2	38.7
0	0	45	3	31
0	0	45	4	80
0	0	90	1	28.8
0	0	90	2	39.9
0	0	90	3	32.1
0	0	90	4	46.2
0	0	135	1	67.6
0	0	135	2	47.2
0	0	135	3	51
0	0	135	4	47.9
0	0	180	1	34.7
0	0	180	2	31.5
0	0	180	3	30.4
0	0	180	4	39.2
0	30	45	1	38.2
0	30	45	2	44.2
0	30	45	3	36.5
0	30	45	4	50
0	30	90	1	30.7
0	30	90	2	38
0	30	90	3	36.3
0	30	90	4	52
0	30	135	1	35.7
0	30	135	2	42.3
0	30	135	3	49.1
0	30	135	4	36.3
0	30	180	1	36.2
0	30	180	2	32.4
0	30	180	3	30
0	30	180	4	33.4
0	60	45	1	37
0	60	45	2	54
0	60	45	3	39
0	60	45	4	51.2
0	60	90	1	38
0	60	90	2	30.5
0	60	90	3	38.6
0	60	90	4	54
0	60	135	1	40.1
0	60	135	2	45.3
0	60	135	3	49.1
0	60	135	4	45.7
0	60	180	1	37.8
0	60	180	2	44.7
0	60	180	3	28.3
0	60	180	4	29
0	100	45	1	21
0	100	45	2	49.7
0	100	45	3	35.5
0	100	45	4	60.8
0	100	90	1	39.3
0	100	90	2	36.9
0	100	90	3	32.2
0	100	90	4	40
0	100	135	1	52.8
0	100	135	2	37.7
0	100	135	3	33.7
0	100	135	4	47.4
0	100	180	1	38.3
0	100	180	2	41.4
0	100	180	3	40.6
0	100	180	4	40.9
1	AV	45	1	22.6
1	AV	45	2	45.3
1	AV	45	3	39.3
1	AV	45	4	55.1
2	AV	90	1	39
2	AV	90	2	40.1
2	AV	90	3	29
2	AV	90	4	48
3	AV	135	1	40.7
3	AV	135	2	45.8
3	AV	135	3	37.1
3	AV	135	4	41.4
4	AV	180	1	36.7
4	AV	180	2	42.6
4	AV	180	3	44.5
4	AV	180	4	32.3
