trat	rep	N	P	K	Ca	Mg	S	B	Cu	Fe	Mn	Zn
1	1	20	1.4	13	6	1.1	1.2	34	4.5	30	43	19
1	2	13	1.1	10	7	0.7	0.9	13	6.4	36	46	17
1	3	16	1.1	13	8	0.8	1	17	4.5	36	113	19
2	1	15	1.2	13	8	0.9	1.1	21	6.6	39	143	37
2	2	10	1.6	13	6	1.2	1.3	28	5.7	36	55	23
2	3	19	1.5	12	6	1.4	1.4	26	5.8	42	72	27
3	1	15	1	12	6	0.8	1	30	3.2	35	52	18
3	2	18	1.4	13	7	0.8	1	39	3.9	37	137	18
3	3	15	1.3	12	7	0.9	1	34	4.4	53	132	19
4	1	19	1.7	12	6	1.2	1.4	41	4.9	51	61	24
4	2	19	1.8	11	6	1.4	1.5	60	4.6	40	61	25
4	3	20	2	13	6	1.3	1.5	41	7	40	61	20
5	1	21	1.2	8	7	1.0	1.3	13	8.3	34	27	15
5	2	22	1.3	11	9	1.2	1.5	8	6.7	45	31	19
5	3	20	1.4	12	9	1.3	1.5	13	4.9	71	35	19
6	1	18	2.7	13	8	1.7	1.3	11	5.7	53	19	18
6	2	19	1.7	11	8	1.7	1.4	13	7.3	90	26	19
6	3	20	1.7	12	8	1.9	1.6	14	6	68	23	20
